accuracy,precision,recall,f_measure,accuracy1,precision1,recall1,f_measure1,accuracy2,precision2,recall2,f_measure2,accuracy3,precision3,recall3,f_measure3
0.54,0.5319148936170213,0.9615384615384616,0.684931506849315,0.83,0.16666666666666666,0.2222222222222222,0.1904761904761905,0.49,0.49,1.0,0.6577181208053691,0.83,0.21428571428571427,0.3333333333333333,0.2608695652173913
0.5,0.5104166666666666,0.9423076923076923,0.6621621621621621,0.86,0.2727272727272727,0.3333333333333333,0.3,0.51,0.5,0.9795918367346939,0.6620689655172414,0.61,0.03125,0.1111111111111111,0.04878048780487805
0.54,0.53125,0.9807692307692307,0.6891891891891891,0.76,0.2,0.5555555555555556,0.29411764705882354,0.51,0.5,1.0,0.6666666666666666,0.83,0.2777777777777778,0.5555555555555556,0.3703703703703704
0.57,0.5483870967741935,0.9807692307692307,0.7034482758620689,0.86,0.3076923076923077,0.4444444444444444,0.3636363636363637,0.51,0.5,0.8979591836734694,0.6423357664233577,0.84,0.29411764705882354,0.5555555555555556,0.3846153846153846
0.51,0.5157894736842106,0.9423076923076923,0.6666666666666667,0.94,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.58,0.5402298850574713,0.9591836734693877,0.6911764705882353,0.84,0.23076923076923078,0.3333333333333333,0.27272727272727276
0.52,0.52,1.0,0.6842105263157895,0.82,0.15384615384615385,0.2222222222222222,0.18181818181818185,0.51,0.5,0.9795918367346939,0.6620689655172414,0.83,0.1,0.1111111111111111,0.10526315789473685
0.58,0.5568181818181818,0.9423076923076923,0.7,0.99,0.9,1.0,0.9473684210526316,0.51,0.5,0.9387755102040817,0.652482269503546,0.83,0.16666666666666666,0.2222222222222222,0.1904761904761905
0.53,0.5280898876404494,0.9038461538461539,0.6666666666666666,0.98,0.8181818181818182,1.0,0.9,0.55,0.5212765957446809,1.0,0.6853146853146853,0.87,0.3333333333333333,0.4444444444444444,0.380952380952381
0.52,0.5212765957446809,0.9423076923076923,0.6712328767123288,0.86,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.55,0.5227272727272727,0.9387755102040817,0.6715328467153285,0.87,0.3,0.3333333333333333,0.3157894736842105
0.54,0.5348837209302325,0.8846153846153846,0.6666666666666665,0.91,0.5,0.5555555555555556,0.5263157894736842,0.47,0.4782608695652174,0.8979591836734694,0.624113475177305,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997
0.52,0.52,1.0,0.6842105263157895,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.49,0.4878048780487805,0.8163265306122449,0.6106870229007634,0.86,0.3076923076923077,0.4444444444444444,0.3636363636363637
