accuracy,precision,recall,f_measure,accuracy1,precision1,recall1,f_measure1,accuracy2,precision2,recall2,f_measure2,accuracy3,precision3,recall3,f_measure3
0.44,0.05660377358490566,0.3333333333333333,0.0967741935483871,0.83,0.16666666666666666,0.2222222222222222,0.1904761904761905,0.49,0.49,1.0,0.6577181208053691,0.29,0.06944444444444445,0.5555555555555556,0.12345679012345681
0.71,0.08333333333333333,0.2222222222222222,0.12121212121212122,0.86,0.2727272727272727,0.3333333333333333,0.3,0.49,0.49,1.0,0.6577181208053691,0.6,0.10256410256410256,0.4444444444444444,0.16666666666666666
0.69,0.10714285714285714,0.3333333333333333,0.16216216216216214,0.76,0.2,0.5555555555555556,0.29411764705882354,0.49,0.4897959183673469,0.9795918367346939,0.653061224489796,0.76,0.17391304347826086,0.4444444444444444,0.25
0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.86,0.3076923076923077,0.4444444444444444,0.3636363636363637,0.49,0.49,1.0,0.6577181208053691,0.81,0.2222222222222222,0.4444444444444444,0.2962962962962963
0.85,0.2,0.2222222222222222,0.2105263157894737,0.94,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.51,0.5,0.9591836734693877,0.6573426573426573,0.8,0.17647058823529413,0.3333333333333333,0.23076923076923078
0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.82,0.15384615384615385,0.2222222222222222,0.18181818181818185,0.49,0.4895833333333333,0.9591836734693877,0.6482758620689655,0.84,0.18181818181818182,0.2222222222222222,0.19999999999999998
0.84,0.26666666666666666,0.4444444444444444,0.33333333333333337,0.99,0.9,1.0,0.9473684210526316,0.53,0.5106382978723404,0.9795918367346939,0.6713286713286712,0.85,0.2,0.2222222222222222,0.2105263157894737
0.81,0.08333333333333333,0.1111111111111111,0.09523809523809525,0.98,0.8181818181818182,1.0,0.9,0.55,0.5222222222222223,0.9591836734693877,0.6762589928057555,0.94,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.87,0.3333333333333333,0.4444444444444444,0.380952380952381,0.86,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.61,0.5641025641025641,0.8979591836734694,0.6929133858267718,0.92,0.5384615384615384,0.7777777777777778,0.6363636363636364
0.87,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.91,0.5,0.5555555555555556,0.5263157894736842,0.64,0.5783132530120482,0.9795918367346939,0.7272727272727273,0.83,0.16666666666666666,0.2222222222222222,0.1904761904761905
0.84,0.26666666666666666,0.4444444444444444,0.33333333333333337,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.55,0.5227272727272727,0.9387755102040817,0.6715328467153285,0.86,0.2222222222222222,0.2222222222222222,0.2222222222222222
