accuracy,precision,recall,f_measure,accuracy1,precision1,recall1,f_measure1,accuracy2,precision2,recall2,f_measure2,accuracy3,precision3,recall3,f_measure3
0.59,0.10526315789473684,0.07692307692307693,0.08888888888888889,0.59,0.10526315789473684,0.07692307692307693,0.08888888888888889,0.69,0.375,0.2222222222222222,0.27906976744186046,0.57,0.2727272727272727,0.18181818181818182,0.21818181818181817
0.65,0.2631578947368421,0.19230769230769232,0.2222222222222222,0.68,0.35,0.2692307692307692,0.3043478260869565,0.62,0.23809523809523808,0.18518518518518517,0.20833333333333334,0.59,0.25,0.12121212121212122,0.163265306122449
0.94,0.8571428571428571,0.9230769230769231,0.888888888888889,0.68,0.35,0.2692307692307692,0.3043478260869565,0.69,0.3888888888888889,0.25925925925925924,0.3111111111111111,0.52,0.2727272727272727,0.2727272727272727,0.2727272727272727
0.76,0.5294117647058824,0.6923076923076923,0.5999999999999999,0.69,0.4,0.38461538461538464,0.39215686274509803,0.69,0.375,0.2222222222222222,0.27906976744186046,0.58,0.30434782608695654,0.21212121212121213,0.25
0.77,0.5882352941176471,0.38461538461538464,0.46511627906976744,0.71,0.4444444444444444,0.46153846153846156,0.4528301886792453,0.71,0.4444444444444444,0.2962962962962963,0.3555555555555555,0.63,0.4090909090909091,0.2727272727272727,0.32727272727272727
0.73,0.48,0.46153846153846156,0.47058823529411764,0.81,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.66,0.34782608695652173,0.2962962962962963,0.31999999999999995,1.0,1.0,1.0,1.0
0.81,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.81,0.6060606060606061,0.7692307692307693,0.6779661016949152,0.74,0.5238095238095238,0.4074074074074074,0.4583333333333333,0.76,0.6666666666666666,0.5454545454545454,0.6
0.76,0.5357142857142857,0.5769230769230769,0.5555555555555555,0.77,0.5428571428571428,0.7307692307692307,0.6229508196721311,0.73,0.5,0.3333333333333333,0.4,0.72,0.5925925925925926,0.48484848484848486,0.5333333333333333
0.74,0.5,0.4230769230769231,0.4583333333333333,0.97,0.896551724137931,1.0,0.9454545454545454,0.73,0.5,0.25925925925925924,0.3414634146341463,0.76,0.68,0.5151515151515151,0.5862068965517241
0.82,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.83,0.6551724137931034,0.7307692307692307,0.6909090909090909,0.75,0.5555555555555556,0.37037037037037035,0.4444444444444445,0.87,0.8571428571428571,0.7272727272727273,0.7868852459016394
1.0,1.0,1.0,1.0,0.86,0.7307692307692307,0.7307692307692307,0.7307692307692306,0.72,0.47058823529411764,0.2962962962962963,0.3636363636363636,0.88,0.8888888888888888,0.7272727272727273,0.7999999999999999
