accuracy,precision,recall,f_measure,accuracy1,precision1,recall1,f_measure1,accuracy2,precision2,recall2,f_measure2,accuracy3,precision3,recall3,f_measure3
0.59,0.10526315789473684,0.07692307692307693,0.08888888888888889,0.59,0.10526315789473684,0.07692307692307693,0.08888888888888889,0.73,0.5,0.3333333333333333,0.4,0.63,0.4,0.24242424242424243,0.30188679245283023
0.65,0.2631578947368421,0.19230769230769232,0.2222222222222222,0.68,0.35,0.2692307692307692,0.3043478260869565,0.66,0.23076923076923078,0.1111111111111111,0.15,0.67,0.5,0.2727272727272727,0.3529411764705882
0.94,0.8571428571428571,0.9230769230769231,0.888888888888889,0.68,0.35,0.2692307692307692,0.3043478260869565,0.73,0.5,0.48148148148148145,0.49056603773584906,0.62,0.4074074074074074,0.3333333333333333,0.36666666666666664
0.76,0.5294117647058824,0.6923076923076923,0.5999999999999999,0.69,0.4,0.38461538461538464,0.39215686274509803,0.66,0.3157894736842105,0.2222222222222222,0.2608695652173913,0.62,0.35294117647058826,0.18181818181818182,0.24000000000000002
0.77,0.5882352941176471,0.38461538461538464,0.46511627906976744,0.71,0.4444444444444444,0.46153846153846156,0.4528301886792453,0.68,0.3333333333333333,0.18518518518518517,0.23809523809523808,0.88,0.8888888888888888,0.7272727272727273,0.7999999999999999
0.73,0.48,0.46153846153846156,0.47058823529411764,0.81,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.69,0.4166666666666667,0.37037037037037035,0.39215686274509803,0.74,0.6521739130434783,0.45454545454545453,0.5357142857142857
0.81,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.81,0.6060606060606061,0.7692307692307693,0.6779661016949152,0.71,0.46153846153846156,0.4444444444444444,0.4528301886792453,0.9,0.896551724137931,0.7878787878787878,0.8387096774193549
0.76,0.5357142857142857,0.5769230769230769,0.5555555555555555,0.77,0.5428571428571428,0.7307692307692307,0.6229508196721311,0.78,0.6666666666666666,0.37037037037037035,0.47619047619047616,0.78,0.7037037037037037,0.5757575757575758,0.6333333333333334
0.74,0.5,0.4230769230769231,0.4583333333333333,0.97,0.896551724137931,1.0,0.9454545454545454,0.82,0.7368421052631579,0.5185185185185185,0.6086956521739131,0.7,0.5483870967741935,0.5151515151515151,0.53125
0.82,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.83,0.6551724137931034,0.7307692307692307,0.6909090909090909,0.78,0.6666666666666666,0.37037037037037035,0.47619047619047616,0.7,0.5652173913043478,0.3939393939393939,0.4642857142857143
1.0,1.0,1.0,1.0,0.86,0.7307692307692307,0.7307692307692307,0.7307692307692306,0.78,0.6470588235294118,0.4074074074074074,0.5,0.79,0.7142857142857143,0.6060606060606061,0.6557377049180327
